step,vehicles,pedestrians,waiting_vehicles,waiting_pedestrians,avg_vehicle_wait,avg_pedestrian_wait,phase,phase_duration,time_in_phase
0,4.0,3,0,0,2.5678705357526,2.0913299772115495,0,21,5
1,9.003490656731797,3,3,1,1.5941254987417681,0.054557891610664995,0,35,14
2,8.006981302830447,2,4,0,0.9753714008741391,5.354461157267335,3,31,28
3,6.010471927662839,1,2,0,1.6591745039321713,1.9081251101217007,1,37,10
4,3.013962520595923,3,2,0,1.8894077101662767,2.1948964349241833,1,32,0
5,9.017453070996748,3,1,0,1.6719394862276318,0.41021308797218203,2,27,25
6,4.020943568232491,4,4,0,1.2977412109069557,4.073917835802739,1,28,23
7,12.024434001670494,3,2,2,2.551235809781459,1.8954006802750447,0,28,11
8,7.02792436067829,3,1,2,0.6599427933808798,0.2317706940317691,2,28,16
9,6.0314146346236415,5,2,2,1.0021147077146029,3.017599187607402,2,26,28
10,6.034904812874567,3,1,0,4.183330685141587,1.6781408187230118,2,39,0
11,1.0383948847993794,1,3,1,0.5587295635613184,1.018643719619498,0,24,1
12,2.041884839766714,5,4,0,1.667962861731836,6.364244459273245,0,33,1
13,5.045374667145563,4,1,2,0.5967122706619544,4.304809846949849,2,37,29
14,3.048864356305306,5,3,2,0.7622414923358521,0.10934254223151335,2,32,17
15,9.052353896615747,4,2,0,0.4907053925802241,2.998525933628625,3,33,29
16,6.055843277447138,2,3,1,0.19937348518605674,0.47226203134874806,1,34,21
17,9.059332488170222,2,4,1,4.29940297091837,0.042047914375871284,0,25,2
18,4.062821518156257,1,1,1,0.7115401787905214,0.6167970318915958,1,34,15
19,8.066310356777052,4,4,0,0.393117662719043,0.12233164469536899,3,25,9
20,4.069798993405002,3,2,1,1.2471104597891713,2.54190016126604,0,31,14
21,7.073287417413113,1,2,0,0.14109527405815148,3.5414201478481204,0,36,11
22,7.07677561817504,2,3,0,0.9407548685497986,0.49048151659541245,2,21,12
23,7.080263585065119,3,1,1,1.0243091074692559,0.5872541177784478,0,23,11
24,7.0837513074583995,3,0,1,0.26171948319598926,0.35985565865690006,2,37,20
25,14.087238774730672,3,1,0,3.8511341162720503,2.0659381836945605,2,27,6
26,5.090725976258508,4,4,3,1.0836898148783887,1.6801119607216326,1,33,18
27,5.094212901419286,5,0,1,0.3021867879431972,0.015425803333148521,2,28,14
28,6.097699539591226,5,1,0,2.1508780461716492,1.1536300598331213,3,36,26
29,7.101185880153427,4,1,1,0.44013562537239426,0.2304145021567691,2,35,19
30,6.1046719124858875,5,2,0,1.5707972900501814,2.1627225106707235,1,35,6
31,7.10815762596955,2,0,2,1.1878422871130982,1.6051249879473939,3,31,25
32,4.111643009986327,2,2,0,0.20877121679533014,1.5353413623281913,0,39,26
33,9.115128053919134,2,0,1,0.11908923656185283,3.3213329348459912,0,27,20
34,12.118612747151923,5,1,1,1.1222986513407482,1.537543020176899,3,30,13
35,8.122097079069714,1,4,2,1.3242363831908799,1.6647098370755904,0,22,12
36,7.125581039058627,2,1,0,0.16857464905122463,2.503479932915551,2,39,13
37,4.129064616505916,3,3,2,0.22752892233599112,0.8965336701411087,0,31,19
38,4.1325478008,1,4,2,0.06166608305377648,6.927608638862034,1,32,11
39,5.1360305813304965,3,3,2,0.1733355130982809,0.8263976247310924,0,24,6
40,6.13951294748825,1,3,0,1.0643023916457188,6.1270074189244506,3,25,1
41,6.142994888665372,2,1,1,0.26872624266741557,4.200745328407765,3,37,15
42,6.146476394255263,3,2,0,0.4087282014543911,5.91771222786932,3,31,17
43,4.149957453652656,1,2,1,0.9722936764708349,0.50614400433982,3,35,27
44,8.153438056253638,2,0,1,0.6416181903566931,0.6575188644815572,3,20,0
