step,vehicles,pedestrians,waiting_vehicles,waiting_pedestrians,avg_vehicle_wait,avg_pedestrian_wait,phase,phase_duration,time_in_phase,state,q_table_size,epsilon
0,4.0,5,1,0,0.8816307323871597,1.616403572707059,3,17,17,"(2,1,1,0)",50,0.1
1,3.0034906567317967,1,1,0,0.5899072928765817,0.17198944739243047,3,22,6,"(2,1,1,0)",51,0.09998610725201446
2,4.0069813028304475,2,1,0,0.44122482621363207,6.019581025694554,3,30,18,"(2,1,1,0)",52,0.0999722145040289
3,6.010471927662839,3,2,0,0.10937597063335201,1.6775558464597389,2,25,24,"(2,1,1,0)",53,0.09995832175604336
4,10.013962520595923,1,1,0,0.3880758205134255,0.25640632051378986,0,22,24,"(2,1,1,0)",54,0.0999444290080578
5,7.017453070996748,3,0,0,0.07352471714926608,2.1093532591539703,0,21,16,"(2,1,1,0)",55,0.09993053626007224
6,6.020943568232491,2,0,0,0.7518584266402661,0.18787999978934905,0,31,9,"(2,1,1,0)",56,0.09991664351208669
7,9.024434001670494,2,3,0,1.6475609652808285,3.1714233158386325,0,17,16,"(2,1,1,0)",57,0.09990275076410114
8,2.0279243606782904,2,2,0,0.11292596339904865,1.635734549397823,2,19,23,"(2,1,1,0)",58,0.09988885801611559
9,3.0314146346236415,5,1,0,0.8956199414886341,0.9637984750213475,3,15,9,"(2,1,1,0)",59,0.09987496526813004
10,4.034904812874567,3,1,0,0.19243383006808193,1.1806396816851275,1,21,2,"(2,1,1,0)",60,0.09986107252014449
11,4.038394884799379,7,0,0,0.1674126235525231,0.13832580938184352,1,20,6,"(2,1,1,0)",61,0.09984717977215894
12,5.0418848397667135,1,1,0,1.262536575608372,2.5056297677834127,3,33,4,"(2,1,1,0)",62,0.09983328702417339
13,10.045374667145563,3,0,0,0.6485868103642374,0.741419933436275,0,28,12,"(2,1,1,0)",63,0.09981939427618784
14,11.048864356305307,3,2,0,2.2736966314849116,0.4448631930659567,0,23,0,"(2,1,1,0)",64,0.09980550152820228
15,7.052353896615746,0,0,0,3.235302000263432,1.5403998039756939,0,26,16,"(2,1,1,0)",65,0.09979160878021673
16,10.055843277447138,2,1,0,0.8469678942023489,2.593182592228063,2,16,1,"(2,1,1,0)",66,0.09977771603223118
17,6.059332488170221,3,1,0,0.4123332504464312,0.28169000568924496,2,28,18,"(2,1,1,0)",67,0.09976382328424563
18,5.062821518156257,3,0,0,0.2767582155965672,0.1645177107930907,2,19,5,"(2,1,1,0)",68,0.09974993053626008
19,5.066310356777053,2,2,0,0.1388943666668396,2.280771524796634,0,31,8,"(2,1,1,0)",69,0.09973603778827453
20,3.069798993405002,2,5,0,0.5239460310118305,0.2949127619748734,0,24,7,"(2,1,1,0)",70,0.09972214504028898
21,3.0732874174131126,1,1,0,0.5042504742704167,0.29087811999738317,3,16,11,"(2,1,1,0)",71,0.09970825229230343
22,4.07677561817504,3,1,0,0.0012580698193465937,2.8409876693757057,3,29,18,"(2,1,1,0)",72,0.09969435954431786
23,7.080263585065119,2,0,0,0.9895188419943897,7.543967713271736,3,34,13,"(2,1,1,0)",73,0.09968046679633231
24,12.0837513074584,3,2,0,0.33295128040656846,2.1183756870272856,2,34,20,"(2,1,1,0)",74,0.09966657404834676
25,5.087238774730672,1,1,0,1.5055021076287245,0.3992820517455626,3,22,16,"(2,1,1,0)",75,0.09965268130036121
26,7.090725976258508,4,2,0,0.40037158022053404,0.587516150506662,1,28,22,"(2,1,1,0)",76,0.09963878855237567
27,9.094212901419285,2,0,0,2.1802496793780617,2.2853341387660864,3,20,21,"(2,1,1,0)",77,0.09962489580439012
28,6.097699539591226,1,1,0,0.9788643517749431,1.034559159977716,1,23,20,"(2,1,1,0)",78,0.09961100305640457
29,6.101185880153427,4,0,0,0.4289673709314106,2.4769206109322326,2,33,14,"(2,1,1,0)",79,0.09959711030841902
30,8.104671912485887,4,0,0,0.5956017380719437,3.6802463365979476,1,23,20,"(2,1,1,0)",80,0.09958321756043347
31,2.1081576259695507,2,0,0,0.3905521929887172,0.20624228768841502,1,16,23,"(2,1,1,0)",81,0.0995693248124479
32,4.111643009986327,1,0,0,0.46518951462336855,1.3323107022172247,0,19,0,"(2,1,1,0)",82,0.09955543206446235
33,5.115128053919134,2,1,0,0.04298444257323451,1.7557168123298377,3,22,22,"(2,1,1,0)",83,0.0995415393164768
34,5.118612747151923,4,2,0,0.21764443306668815,2.3681548262936323,3,32,7,"(2,1,1,0)",84,0.09952764656849125
35,9.122097079069714,1,0,0,2.21406290261959,1.2402942041762064,2,30,14,"(2,1,1,0)",85,0.0995137538205057
36,4.125581039058627,1,0,0,0.6726389032827667,1.7789183529082775,3,27,8,"(2,1,1,0)",86,0.09949986107252015
37,8.129064616505916,2,0,0,0.008738670171655692,0.7515775613278639,1,33,13,"(2,1,1,0)",87,0.0994859683245346
38,4.1325478008,6,0,0,4.656918054771417,0.5991206457960828,0,25,23,"(2,1,1,0)",88,0.09947207557654905
39,8.136030581330497,3,0,0,0.332023042866592,0.48440087354496014,2,24,5,"(2,1,1,0)",89,0.0994581828285635
40,4.13951294748825,6,2,0,2.2995755749599707,0.6341601027626774,1,26,21,"(2,1,1,0)",90,0.09944429008057794
41,12.142994888665372,5,0,0,2.4282860747118375,0.8379848532457895,0,34,2,"(2,1,1,0)",91,0.09943039733259239
42,8.146476394255263,1,1,0,0.6000379898632653,1.211092029606487,3,17,21,"(2,1,1,0)",92,0.09941650458460684
43,6.149957453652656,4,0,0,0.4722976243370088,6.644507198761269,1,27,18,"(2,1,1,0)",93,0.09940261183662129
44,3.1534380562536373,1,3,0,0.4323635277855415,2.1624785801959154,1,34,9,"(2,1,1,0)",94,0.09938871908863574
45,6.15691819145569,2,0,0,0.5316750953089618,0.7525330305061982,1,31,18,"(2,1,1,0)",95,0.09937482634065019
46,3.160397848657718,3,4,0,0.7566276249260209,0.15142469294687624,2,29,13,"(2,1,1,0)",96,0.09936093359266464
47,6.163877017260082,7,2,0,0.10111624305687064,1.4122390073333737,2,24,23,"(2,1,1,0)",97,0.09934704084467909
48,6.167355686664631,1,0,0,1.049078433041724,0.4859475974509785,3,21,19,"(2,1,1,0)",98,0.09933314809669354
49,8.170833846274736,2,1,0,0.3575566239436392,2.734646767202963,0,22,17,"(2,1,1,0)",99,0.09931925534870797
50,5.174311485495316,2,1,0,0.5698997763548875,0.22875101421976526,2,22,20,"(2,1,1,0)",100,0.09930536260072242
51,10.177788593732883,1,1,0,2.35823428031811,2.8097082326236618,0,31,24,"(2,1,1,0)",101,0.09929146985273687
52,4.181265160395561,1,0,0,2.982984940664982,1.8826695376704905,2,25,2,"(2,1,1,0)",102,0.09927757710475132
53,3.1847411748931234,2,3,0,0.12290889904467449,0.42844118054115676,3,19,1,"(2,1,1,0)",103,0.09926368435676577
54,8.188216626637029,4,2,0,0.4202498888039472,1.1106512182493034,0,16,21,"(2,1,1,0)",104,0.09924979160878022
55,6.191691505040448,1,2,0,0.2962060783611997,1.4109617072457405,1,21,24,"(2,1,1,0)",105,0.09923589886079467
56,6.195165799518299,2,2,0,0.20746192357588766,0.06770333669591097,3,16,4,"(2,1,1,0)",106,0.09922200611280912
57,9.198639499487278,3,1,0,1.2515881420687673,0.1274805096045832,3,32,2,"(2,1,1,0)",107,0.09920811336482356
58,10.202112594365893,4,0,0,0.10686602117103804,0.45871161317792686,3,29,2,"(2,1,1,0)",108,0.09919422061683801
59,1.2055850735744935,3,0,0,0.26614498125401903,1.1592644032933435,2,28,9,"(2,1,1,0)",109,0.09918032786885246
60,4.209056926535307,2,0,0,0.12038278795066436,1.9522277163277233,3,15,7,"(2,1,1,0)",110,0.09916643512086691
61,11.212528142672467,6,1,0,0.6423319925590392,1.1550721720689645,3,30,3,"(2,1,1,0)",111,0.09915254237288136
62,8.215998711412047,6,1,0,0.048518572845585944,1.654899933869073,1,21,4,"(2,1,1,0)",112,0.09913864962489581
63,2.2194686221820907,0,0,0,0.2943733434907173,0.1974510346724243,1,25,23,"(2,1,1,0)",113,0.09912475687691026
64,1.222937864412651,3,2,0,3.4986467829059964,0.6383100897084001,2,32,11,"(2,1,1,0)",114,0.09911086412892471
65,2.2264064275358133,4,3,0,0.03646296920949479,4.714398461262173,3,24,22,"(2,1,1,0)",115,0.09909697138093916
66,5.229874300985733,1,0,0,1.9324634747261116,1.3222621578915212,3,31,13,"(2,1,1,0)",116,0.0990830786329536
67,4.233341474198666,2,2,0,0.3955531827286447,1.006939940102857,0,18,11,"(2,1,1,0)",117,0.09906918588496805
68,6.236807936613002,1,1,0,0.33998438112550833,3.2317459782241453,2,21,4,"(2,1,1,0)",118,0.0990552931369825
69,6.240273677669294,1,2,0,0.8325323966636932,4.94815738577163,1,31,20,"(2,1,1,0)",119,0.09904140038899695
70,6.243738686810295,4,0,0,2.078953638379199,5.806541894148163,2,23,16,"(2,1,1,0)",120,0.0990275076410114
71,7.247202953480985,1,0,0,0.17218028923667028,1.4798087909948152,1,17,19,"(2,1,1,0)",121,0.09901361489302585
72,8.250666467128609,6,0,0,0.32015986384812956,2.9318561247442196,2,27,18,"(2,1,1,0)",122,0.0989997221450403
73,5.254129217202701,1,1,0,0.5636764859825458,3.728162793002512,3,34,2,"(2,1,1,0)",123,0.09898582939705475
74,5.257591193155125,2,1,0,2.4549788053808745,0.8523123108002948,3,34,15,"(2,1,1,0)",124,0.0989719366490692
75,6.261052384440103,5,0,0,2.073769603614054,2.838789010168872,3,19,2,"(2,1,1,0)",125,0.09895804390108363
76,6.264512780514245,4,0,0,0.4511902485948541,0.9796298375501991,3,16,14,"(2,1,1,0)",126,0.09894415115309808
77,5.267972370836584,2,0,0,0.033019234758319214,1.4999107354831056,1,32,6,"(2,1,1,0)",127,0.09893025840511253
78,8.27143114486861,2,0,0,0.33699918184444944,0.5856951473734234,3,21,12,"(2,1,1,0)",128,0.09891636565712698
79,12.274889092074293,3,0,0,0.32357927843793843,0.23108797884660873,1,17,20,"(2,1,1,0)",129,0.09890247290914143
80,3.278346201920131,2,0,0,1.404619119539481,4.5202076405311615,1,19,18,"(2,1,1,0)",130,0.09888858016115588
81,9.281802463875165,7,2,0,0.5043769120800546,2.826846898033433,1,34,22,"(2,1,1,0)",131,0.09887468741317033
82,5.2852578674110235,5,2,0,0.15056489498429454,0.3200139165467113,1,25,4,"(2,1,1,0)",132,0.09886079466518478
83,4.288712402001947,1,1,0,0.5006788005338055,0.039896348711722915,2,26,19,"(2,1,1,0)",133,0.09884690191719923
84,6.292166057124823,2,0,0,0.7031733286720052,1.252834097498971,2,33,2,"(2,1,1,0)",134,0.09883300916921367
85,10.295618822259222,2,0,0,0.16445204053948786,4.338990448122337,1,32,6,"(2,1,1,0)",135,0.09881911642122812
86,12.299070686887418,4,0,0,0.14606619407849986,0.6423748940292732,3,18,0,"(2,1,1,0)",136,0.09880522367324257
87,3.3025216404944384,1,1,0,1.5326008123930495,0.5366566517894137,2,25,7,"(2,1,1,0)",137,0.09879133092525702
88,8.305971672568075,3,1,0,0.23183678256997592,2.2691926117679695,3,30,21,"(2,1,1,0)",138,0.09877743817727147
89,4.309420772598936,5,0,0,0.147756363412019,0.5712123653249177,2,21,16,"(2,1,1,0)",139,0.09876354542928592
90,5.3128689300804615,3,2,0,0.02750163864531029,1.4551059858277287,3,15,3,"(2,1,1,0)",140,0.09874965268130037
91,7.316316134508967,5,0,0,0.3798479214768504,3.8153985935153165,1,30,22,"(2,1,1,0)",141,0.09873575993331482
92,3.31976237538367,0,1,0,0.09606510513901946,4.912620756361135,2,29,22,"(2,1,1,0)",142,0.09872186718532926
93,3.323207642206722,3,1,0,1.8119896464177103,0.8176934016299705,2,17,14,"(2,1,1,0)",143,0.0987079744373437
94,5.326651924483245,1,3,0,0.4774262768002882,0.21547262907561007,3,31,13,"(2,1,1,0)",144,0.09869408168935816
95,11.330095211721355,1,2,0,0.9662179756579706,1.860382978400691,3,15,13,"(2,1,1,0)",145,0.0986801889413726
96,5.333537493432204,2,4,0,0.22552954850629015,1.3659408483756612,1,32,24,"(2,1,1,0)",146,0.09866629619338706
97,4.336978759130005,1,1,0,2.505466147335832,0.21469614712495275,0,22,3,"(2,1,1,0)",147,0.09865240344540151
98,4.340418998332065,4,3,0,0.5635177626354014,0.8968737436052026,0,32,9,"(2,1,1,0)",148,0.09863851069741596
99,7.343858200558819,4,0,0,4.0753353556555565,2.496928782858414,0,32,3,"(2,1,1,0)",149,0.09862461794943041
100,6.347296355333861,4,1,0,0.5987162847731191,0.22427014108557572,1,18,9,"(2,1,1,0)",150,0.09861072520144486
101,6.350733452183974,3,1,0,0.004809574103531258,4.080265269895861,2,34,18,"(2,1,1,0)",151,0.0985968324534593
102,2.3541694806391664,1,2,0,1.1315033508764356,2.3105564608651425,2,28,16,"(2,1,1,0)",152,0.09858293970547374
103,8.3576044302327,5,1,0,0.23134631876678086,2.13091742775489,0,20,17,"(2,1,1,0)",153,0.0985690469574882
104,4.36103829050112,1,0,0,1.7355738917689891,0.3766823413482348,0,18,13,"(2,1,1,0)",154,0.09855515420950264
105,4.364471050984295,3,0,0,0.2872537167659583,3.3576312106621784,1,23,10,"(2,1,1,0)",155,0.0985412614615171
106,7.36790270122544,4,0,0,1.0456020106025006,2.9241918604372787,3,24,1,"(2,1,1,0)",156,0.09852736871353154
107,6.371333230771154,1,1,0,1.404369610692336,3.599718052513814,3,17,22,"(2,1,1,0)",157,0.098513475965546
108,6.37476262917145,6,0,0,0.08207536006200876,1.1607318232945052,1,30,13,"(2,1,1,0)",158,0.09849958321756044
109,2.3781908859797825,5,2,0,1.953875576110307,0.016919392714167827,0,31,17,"(2,1,1,0)",159,0.0984856904695749
110,6.38161799075309,4,0,0,1.2199651813263848,0.5112370752134946,2,15,9,"(2,1,1,0)",160,0.09847179772158933
111,8.385043933051815,1,2,0,0.2242404999703724,0.5277094597737725,0,25,19,"(2,1,1,0)",161,0.09845790497360378
112,11.388468702439944,1,1,0,0.39790032061741043,0.6032023765923249,2,16,12,"(2,1,1,0)",162,0.09844401222561823
113,5.391892288485035,2,5,0,0.39015884508433185,0.5093519487359578,1,25,19,"(2,1,1,0)",163,0.09843011947763268
114,5.395314680758252,4,0,0,2.0530664250697614,4.620405519497146,3,26,3,"(2,1,1,0)",164,0.09841622672964713
115,10.398735868834395,4,1,0,1.461585232941073,4.100041338260056,2,15,23,"(2,1,1,0)",165,0.09840233398166158
116,12.40215584229193,1,2,0,2.0712787907538557,4.485606066970834,0,25,21,"(2,1,1,0)",166,0.09838844123367603
117,3.405574590713025,0,2,0,0.4426737541530388,0.4119828736880125,2,31,9,"(2,1,1,0)",167,0.09837454848569048
118,8.40899210368358,4,1,0,0.8775030070475142,2.557339611513758,3,23,24,"(2,1,1,0)",168,0.09836065573770493
119,5.412408370793259,1,0,0,1.0706344733365105,1.8776963654794239,1,29,3,"(2,1,1,0)",169,0.09834676298971937
120,9.41582338163552,1,1,0,1.3996024130611797,1.864141682650541,1,30,19,"(2,1,1,0)",170,0.09833287024173382
121,7.419237125807643,3,0,0,1.631289924614491,0.446874871491669,0,15,11,"(2,1,1,0)",171,0.09831897749374827
122,3.422649592910777,1,1,0,1.7459150765635574,1.276920724545732,3,28,23,"(2,1,1,0)",172,0.09830508474576272
123,4.4260607725499534,2,1,0,0.10078712768243861,2.244922904937325,0,21,16,"(2,1,1,0)",173,0.09829119199777717
124,4.429470654334127,3,0,0,0.46255667262115374,1.1507583265945869,0,20,22,"(2,1,1,0)",174,0.09827729924979162
125,3.4328792278762057,3,2,0,0.6340094528532899,3.8820683660370077,3,32,22,"(2,1,1,0)",175,0.09826340650180607
126,7.4362864827930855,5,1,0,0.015696343324941252,0.535160115217167,1,26,2,"(2,1,1,0)",176,0.09824951375382052
127,4.439692408705675,5,1,0,0.24004816411952046,0.883062690731109,3,20,11,"(2,1,1,0)",177,0.09823562100583495
128,6.4430969952389345,5,1,0,0.24175491205602434,3.009420404846482,1,24,4,"(2,1,1,0)",178,0.0982217282578494
129,8.446500232021902,4,2,0,0.3512134987148365,3.4752485346752007,0,27,23,"(2,1,1,0)",179,0.09820783550986385
130,5.44990210868773,2,0,0,1.7603700517510827,0.12602585114364062,0,16,23,"(2,1,1,0)",180,0.0981939427618783
131,7.45330261487371,4,2,0,0.6325957975475105,0.13110658713643886,1,20,11,"(2,1,1,0)",181,0.09818005001389275
132,7.456701740221312,3,0,0,0.8945090827957402,3.434207558447951,1,31,14,"(2,1,1,0)",182,0.0981661572659072
133,7.460099474376209,1,1,0,1.7212921810628523,0.9026058061327499,2,27,20,"(2,1,1,0)",183,0.09815226451792165
134,5.463495806988314,2,2,0,0.8067140071473153,0.3526402061160836,3,28,24,"(2,1,1,0)",184,0.0981383717699361
135,9.46689072771181,1,0,0,0.46119658136918895,0.8277867514863771,2,25,13,"(2,1,1,0)",185,0.09812447902195055
136,7.47028422620518,5,1,0,0.8432899176128832,0.13379371633721118,0,25,13,"(2,1,1,0)",186,0.09811058627396499
137,8.473676292131238,3,0,0,0.8822030473396595,4.6645518712672045,1,22,15,"(2,1,1,0)",187,0.09809669352597944
138,10.477066915157161,4,2,0,0.5426232175992424,0.523813526807508,2,23,20,"(2,1,1,0)",188,0.09808280077799389
139,4.480456084954527,3,1,0,2.528986100899234,0.22952302682852366,3,22,6,"(2,1,1,0)",189,0.09806890803000834
140,5.483843791199336,3,3,0,0.3275907731729537,0.10894399076224658,1,16,8,"(2,1,1,0)",190,0.09805501528202279
141,6.487230023572045,4,2,0,1.8023839032727822,0.12563146665431185,0,21,23,"(2,1,1,0)",191,0.09804112253403724
142,7.490614771757605,5,0,0,0.03681391932982983,2.456256942746849,0,33,17,"(2,1,1,0)",192,0.09802722978605169
143,4.493998025445486,4,0,0,0.9219444151439959,1.6742398162808185,1,17,0,"(2,1,1,0)",193,0.09801333703806614
144,3.4973797743297097,5,0,0,1.1551086216474118,0.09734937724901604,3,20,14,"(2,1,1,0)",194,0.09799944429008059
145,5.500760008108883,4,1,0,0.0965816096159132,1.7367575863171512,1,27,3,"(2,1,1,0)",195,0.09798555154209503
146,3.504138716486227,0,2,0,1.8525777248013733,3.269024039111809,2,30,9,"(2,1,1,0)",196,0.09797165879410948
147,13.50751588916961,2,3,0,0.974678498190823,0.04549804442694563,1,34,16,"(2,1,1,0)",197,0.09795776604612393
148,5.510891515871581,5,0,0,0.14239119883601112,0.23065785324674934,3,24,23,"(2,1,1,0)",198,0.09794387329813838
